Название;Цена;Фото;Ссылка на товар
Название;Цена;Фото;Ссылка на товар
Название;Цена;Фото;Ссылка на товар
Название;Цена;Фото;Ссылка на товар
Смартфон ОРРО Reno5 Fantasy Silver;Цена:39 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2929_8_1.jpg;https://www.sulpak.kg/g/smartfon_orro_reno5_fantasy_silver_77_2929
Смартфон ОРРО Reno5 Starry Black;Цена:39 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2928_1_1.jpg;https://www.sulpak.kg/g/smartfon_orro_reno_5_starry_black_77_2928
Смартфон Huawei P40 Lite Midnight Black;Цена:23 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2371_0_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_p40_lite_midnight_black_jenny_l21a_77_2371
Смартфон Huawei P40 Lite E Midnight Black;Цена:13 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2374_0_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_p40_lite_e_midnight_black_arthur_l29_77_2374
Смартфон Apple iPhone 11 64GB Black;Цена:61 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2121_0.jpg;https://www.sulpak.kg/g/smartfon_apple_iphone_11_64gb_black_mwlt2_77_2121
Смартфон Samsung Galaxy S20 Ultra Gray;Цена:75 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2343_0_6.png;https://www.sulpak.kg/g/smartfon_samsung_galaxy_s20_ultra_gray_sm_g988bzadskz_77_2343
Смартфон Samsung Galaxy S20 Blue;Цена:59 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2336_0_6.png;https://www.sulpak.kg/g/smartfon_samsung_galaxy_s20_blue_sm_g980flbdskz_77_2336
Смартфон Huawei P Smart 2019 Midnight Black;Цена:15 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1796_0_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_p_smart_2019_midnight_black
Смартфон Huawei Y6 2019 32GB Midnight Black;Цена:9 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1835_0_6.png;https://www.sulpak.kg/g/smartfon_huawei_y6_2019_mrd_lx1f_midnight_black
Смартфон Huawei Y5 2019 32GB Modern Black;Цена:10 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1939_0_6.png;https://www.sulpak.kg/g/smartfon_huawei_y5_2019_modern_black_amn_lx9__77_1939
Смартфон Huawei Y7 2019 32GB Midnight Black;Цена:13 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1839_0_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_y7_2019_dub_lx1_midnight_black
Смартфон Huawei P30 Lite 128GB Midnight Black;Цена:21 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1866_0_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_p30_lite_midnight_black
Смартфон Samsung Galaxy S20 Red;Цена:59 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2338_0_6.png;https://www.sulpak.kg/g/smartfon_samsung_galaxy_s20_red_sm_g980fzrdskz_77_2338
Смартфон Samsung Galaxy A52 4/128GB Awesome Violet;Цена:31 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2881_0_1.jpg;https://www.sulpak.kg/g/smartfon_samsung__galaxy_a52_128gb_silver_sm_a525flvdskz_sm_a525flvdskz_77_2881
Смартфон Huawei P40 Lite E Aurora Blue;Цена:13 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2375_0_2.jpeg;https://www.sulpak.kg/g/smartfon_huawei_p40_lite_e_aurora_blue_arthur_l29_77_2375
Смартфон Huawei P40 Lite Sakura Pink;Цена:23 390 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2373_0_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_p40_lite_sakura_pink_jenny_l21a_77_2373
Смартфон Huawei Mate 20 128GB Black;Цена:31 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1792_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_mate_20_hma_l29_black
Смартфон Apple iPhone 7 32GB Black;Цена:29 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1084_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple_iphone_7_black_32_gb
Смартфон Apple iPhone SE 64GB 2020 Black;Цена:49 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2386_4.png;https://www.sulpak.kg/g/smartfon_apple_iphone_se_64gb_black_77_2386
Смартфон Xiaomi Redmi 9A 2/32GB Sky Blue;Цена:10 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2504_0_1.jpg;https://www.sulpak.kg/g/smartfon_xiaomi_redmi_9a_2_32gb_sky_blue_77_2504
Смартфон Apple iPhone 11 64GB Black Slim Box;Цена:61 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2686_4_1.jpg;https://www.sulpak.kg/g/smartfon_apple__iphone_11_64gb_black_mhda3_mhda3_77_2686
Смартфон Apple iPhone 12 mini 64GB Blue;Цена:73 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2609_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple__iphone_12_mini_64gb_blue_mge13_iphone_12_77_2609
Смартфон Samsung Galaxy A21s White;Цена:17 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2466_0_1.jpg;https://www.sulpak.kg/g/smartfon_samsung_galaxy_a21s_white_77_2466
Смартфон Apple iPhone 12 128GB Black;Цена:92 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2596_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple__iphone_12_128gb_black_mgja3_iphone_12_77_2596
Смартфон Xiaomi Redmi 9A 2/32GB Granite Gray;Цена:10 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2503_1_6.png;https://www.sulpak.kg/g/smartfon_xiaomi_redmi_9a_2_32gb_granite_gray_77_2503
Смартфон Apple iPhone 7 32GB Gold;Цена:29 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1087_0_6.png;https://www.sulpak.kg/g/smartfon_apple_iphone_7_gold_32_gb
Смартфон Apple iPhone XR 64GB Black;Цена:62 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1739_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple_iphone_xr_64gb_black
Смартфон Xiaomi Redmi 9C 3/64GB Midnight Gray;Цена:12 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2546_0_1.jpg;https://www.sulpak.kg/g/smartfon_xiaomi_redmi_9c_3_64gb_midnight_gray_77_2546
Смартфон Apple iPhone 12 Pro 128GB Pacific Blue;Цена:117 900 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2624_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple__iphone_12_pro_128gb_pacific_blue_mgmn3_iphone_12_77_2624
Смартфон Huawei P30 Lite 128GB Peacock Blue;Цена:21 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1867_0_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_p30_lite_peacock_blue
